author,text,title
Maya Angelou,"Pretty women wonder where my secret lies.<br/>I'm not cute or built to suit a fashion model's size<br/>But when I start to tell them,<br/>They think I'm telling lies.<br/>I say,<br/>It's in the reach of my arms<br/>The span of my hips,<br/>The stride of my step,<br/>The curl of my lips.<br/>I'm a woman<br/>Phenomenally.<br/>Phenomenal woman,<br/>That's me.<br/><br/>I walk into a room<br/>Just as cool as you please,<br/>And to a man,<br/>The fellows stand or<br/>Fall down on their knees.<br/>Then they swarm around me,<br/>A hive of honey bees.<br/>I say,<br/>It's the fire in my eyes,<br/>And the flash of my teeth,<br/>The swing in my waist,<br/>And the joy in my feet.<br/>I'm a woman<br/>Phenomenally.<br/>Phenomenal woman,<br/>That's me.<br/><br/>Men themselves have wondered<br/>What they see in me.<br/>They try so much<br/>But they can't touch<br/>My inner mystery.<br/>When I try to show them<br/>They say they still can't see.<br/>I say,<br/>It's in the arch of my back,<br/>The sun of my smile,<br/>The ride of my breasts,<br/>The grace of my style.<br/>I'm a woman<br/><br/>Phenomenally.<br/>Phenomenal woman,<br/>That's me.<br/><br/>Now you understand<br/>Just why my head's not bowed.<br/>I don't shout or jump about<br/>Or have to talk real loud.<br/>When you see me passing<br/>It ought to make you proud.<br/>I say,<br/>It's in the click of my heels,<br/>The bend of my hair,<br/>the palm of my hand,<br/>The need of my care,<br/>'Cause I'm a woman<br/>Phenomenally.<br/>Phenomenal woman,<br/>That's me. 
            <br/>",Phenomenal Woman
Maya Angelou,"You may write me down in history<br/>With your bitter, twisted lies,<br/>You may tread me in the very dirt<br/>But still, like dust, I'll rise.<br/><br/>Does my sassiness upset you? <br/>Why are you beset with gloom? <br/>'Cause I walk like I've got oil wells<br/>Pumping in my living room.<br/><br/>Just like moons and like suns,<br/>With the certainty of tides,<br/>Just like hopes springing high,<br/>Still I'll rise.<br/><br/>Did you want to see me broken? <br/>Bowed head and lowered eyes? <br/>Shoulders falling down like teardrops.<br/>Weakened by my soulful cries.<br/><br/>Does my haughtiness offend you? <br/>Don't you take it awful hard<br/>'Cause I laugh like I've got gold mines<br/>Diggin' in my own back yard.<br/><br/>You may shoot me with your words,<br/>You may cut me with your eyes,<br/>You may kill me with your hatefulness,<br/>But still, like air, I'll rise.<br/><br/>Does my sexiness upset you? <br/>Does it come as a surprise<br/>That I dance like I've got diamonds<br/>At the meeting of my thighs? <br/><br/>Out of the huts of history's shame<br/>I rise<br/>Up from a past that's rooted in pain<br/>I rise<br/>I'm a black ocean, leaping and wide,<br/>Welling and swelling I bear in the tide.<br/>Leaving behind nights of terror and fear<br/>I rise<br/>Into a daybreak that's wondrously clear<br/>I rise<br/>Bringing the gifts that my ancestors gave,<br/>I am the dream and the hope of the slave.<br/>I rise<br/>I rise<br/>I rise. 
            <br/>",Still I Rise
Robert Frost,"Two roads diverged in a yellow wood,<br/>And sorry I could not travel both<br/>And be one traveler, long I stood<br/>And looked down one as far as I could<br/>To where it bent in the undergrowth; <br/><br/>Then took the other, as just as fair,<br/>And having perhaps the better claim<br/>Because it was grassy and wanted wear,<br/>Though as for that the passing there<br/>Had worn them really about the same,<br/><br/>And both that morning equally lay<br/>In leaves no step had trodden black.<br/>Oh, I kept the first for another day! <br/>Yet knowing how way leads on to way<br/>I doubted if I should ever come back.<br/><br/>I shall be telling this with a sigh<br/>Somewhere ages and ages hence:<br/>Two roads diverged in a wood, and I,<br/>I took the one less traveled by,<br/>And that has made all the difference. 
            <br/>",The Road Not Taken
Pablo Neruda,"I want you to know<br/>one thing. <br/><br/>You know how this is: <br/>if I look <br/>at the crystal moon, at the red branch <br/>of the slow autumn at my window, <br/>if I touch <br/>near the fire <br/>the impalpable ash <br/>or the wrinkled body of the log, <br/>everything carries me to you, <br/>as if everything that exists, <br/>aromas, light, metals, <br/>were little boats <br/>that sail <br/>toward those isles of yours that wait for me. <br/><br/>Well, now, <br/>if little by little you stop loving me <br/>I shall stop loving you little by little. <br/><br/>If suddenly <br/>you forget me <br/>do not look for me, <br/>for I shall already have forgotten you. <br/><br/>If you think it long and mad, <br/>the wind of banners <br/>that passes through my life, <br/>and you decide <br/>to leave me at the shore <br/>of the heart where I have roots, <br/>remember <br/>that on that day, <br/>at that hour, <br/>I shall lift my arms <br/>and my roots will set off <br/>to seek another land. <br/><br/>But <br/>if each day, <br/>each hour, <br/>you feel that you are destined for me <br/>with implacable sweetness, <br/>if each day a flower <br/>climbs up to your lips to seek me, <br/>ah my love, ah my own, <br/>in me all that fire is repeated, <br/>in me nothing is extinguished or forgotten, <br/>my love feeds on your love, beloved, <br/>and as long as you live it will be in your arms <br/>without leaving mine. 
            <br/>",If You Forget Me
Langston Hughes,"Hold fast to dreams<br/>For if dreams die<br/>Life is a broken-winged bird<br/>That cannot fly.<br/>Hold fast to dreams<br/>For when dreams go<br/>Life is a barren field<br/>Frozen with snow. 
            <br/>",Dreams
Edgar Allan Poe,"It was many and many a year ago,<br/>     In a kingdom by the sea,<br/>  That a maiden there lived whom you may know<br/>     By the name of ANNABEL LEE; <br/>  And this maiden she lived with no other thought<br/>     Than to love and be loved by me.<br/><br/>  I was a child and she was a child,<br/>     In this kingdom by the sea; <br/>  But we loved with a love that was more than love-<br/>     I and my Annabel Lee; <br/>  With a love that the winged seraphs of heaven<br/>     Coveted her and me.<br/><br/>  And this was the reason that, long ago,<br/>     In this kingdom by the sea,<br/>  A wind blew out of a cloud, chilling<br/>     My beautiful Annabel Lee; <br/>  So that her highborn kinsman came<br/>     And bore her away from me,<br/>  To shut her up in a sepulchre<br/>     In this kingdom by the sea.<br/><br/>  The angels, not half so happy in heaven,<br/>     Went envying her and me-<br/>  Yes! - that was the reason (as all men know,<br/>     In this kingdom by the sea) <br/>  That the wind came out of the cloud by night,<br/>     Chilling and killing my Annabel Lee.<br/><br/>  But our love it was stronger by far than the love<br/>     Of those who were older than we-<br/>     Of many far wiser than we-<br/>  And neither the angels in heaven above,<br/>     Nor the demons down under the sea,<br/>  Can ever dissever my soul from the soul<br/>     Of the beautiful Annabel Lee.<br/><br/>  For the moon never beams without bringing me dreams<br/>     Of the beautiful Annabel Lee; <br/>  And the stars never rise but I feel the bright eyes<br/>     Of the beautiful Annabel Lee; <br/>  And so, all the night-tide, I lie down by the side<br/>  Of my darling- my darling- my life and my bride,<br/>     In the sepulchre there by the sea,<br/>     In her tomb by the sounding sea. 
            <br/>",Annabel Lee
Maya Angelou,"The free bird leaps<br/>on the back of the wind<br/>and floats downstream<br/>till the current ends<br/>and dips his wings<br/>in the orange sun rays<br/>and dares to claim the sky.<br/><br/>But a bird that stalks<br/>down his narrow cage<br/>can seldom see through<br/>his bars of rage<br/>his wings are clipped and<br/>his feet are tied<br/>so he opens his throat to sing.<br/><br/>The caged bird sings<br/>with fearful trill<br/>of the things unknown<br/>but longed for still<br/>and his tune is heard<br/>on the distant hill <br/>for the caged bird<br/>sings of freedom<br/><br/>The free bird thinks of another breeze<br/>and the trade winds soft through the sighing trees<br/>and the fat worms waiting on a dawn-bright lawn<br/>and he names the sky his own.<br/><br/>But a caged bird stands on the grave of dreams<br/>his shadow shouts on a nightmare scream<br/>his wings are clipped and his feet are tied<br/>so he opens his throat to sing<br/><br/>The caged bird sings<br/>with a fearful trill<br/>of things unknown<br/>but longed for still<br/>and his tune is heard<br/>on the distant hill<br/>for the caged bird<br/>sings of freedom. 
            <br/>",Caged Bird
Rudyard Kipling,"If you can keep your head when all about you<br/> Are losing theirs and blaming it on you; <br/>If you can trust yourself when all men doubt you,<br/> But make allowance for their doubting too:<br/>If you can wait and not be tired by waiting,<br/> Or, being lied about, don't deal in lies,<br/>Or being hated don't give way to hating,<br/> And yet don't look too good, nor talk too wise; <br/> <br/>If you can dream- -and not make dreams your master; <br/> If you can think- -and not make thoughts your aim,<br/>If you can meet with Triumph and Disaster<br/> And treat those two impostors just the same:.<br/>If you can bear to hear the truth you've spoken<br/> Twisted by knaves to make a trap for fools,<br/>Or watch the things you gave your life to, broken,<br/> And stoop and build'em up with worn-out tools; <br/> <br/>If you can make one heap of all your winnings<br/> And risk it on one turn of pitch-and-toss,<br/>And lose, and start again at your beginnings,<br/> And never breathe a word about your loss:<br/>If you can force your heart and nerve and sinew<br/> To serve your turn long after they are gone,<br/>And so hold on when there is nothing in you<br/> Except the Will which says to them: 'Hold on! '<br/> <br/>If you can talk with crowds and keep your virtue,<br/> Or walk with Kings- -nor lose the common touch,<br/>If neither foes nor loving friends can hurt you,<br/> If all men count with you, but none too much:<br/>If you can fill the unforgiving minute<br/> With sixty seconds' worth of distance run,<br/>Yours is the Earth and everything that's in it,<br/> And- -which is more- -you'll be a Man, my son! 
            <br/>",If
Robert Frost,"Whose woods these are I think I know.<br/>His house is in the village, though; <br/>He will not see me stopping here<br/>To watch his woods fill up with snow.<br/><br/>My little horse must think it queer<br/>To stop without a farmhouse near<br/>Between the woods and frozen lake<br/>The darkest evening of the year.<br/><br/>He gives his harness bells a shake<br/>To ask if there is some mistake.<br/>The only other sound's the sweep<br/>Of easy wind and downy flake.<br/><br/>The woods are lovely, dark and deep,<br/>But I have promises to keep,<br/>And miles to go before I sleep,<br/>And miles to go before I sleep. 
            <br/>",Stopping By Woods On A Snowy Evening
Pablo Neruda,"I do not love you except because I love you; <br/>I go from loving to not loving you,<br/>From waiting to not waiting for you<br/>My heart moves from cold to fire.<br/><br/>I love you only because it's you the one I love; <br/>I hate you deeply, and hating you<br/>Bend to you, and the measure of my changing love for you<br/>Is that I do not see you but love you blindly.<br/><br/>Maybe January light will consume<br/>My heart with its cruel<br/>Ray, stealing my key to true calm.<br/><br/>In this part of the story I am the one who<br/>Dies, the only one, and I will die of love because I love you,<br/>Because I love you, Love, in fire and blood. 
            <br/>",I Do Not Love You Except Because I Love You
Edgar Allan Poe,"Take this kiss upon the brow! <br/>     And, in parting from you now,<br/>     Thus much let me avow-<br/>     You are not wrong, who deem<br/>     That my days have been a dream; <br/>     Yet if hope has flown away<br/>     In a night, or in a day,<br/>     In a vision, or in none,<br/>     Is it therefore the less gone? <br/>     All that we see or seem<br/>     Is but a dream within a dream.<br/><br/>     I stand amid the roar<br/>     Of a surf-tormented shore,<br/>     And I hold within my hand<br/>     Grains of the golden sand-<br/>     How few! yet how they creep<br/>     Through my fingers to the deep,<br/>     While I weep- while I weep! <br/>     O God! can I not grasp<br/>     Them with a tighter clasp? <br/>     O God! can I not save<br/>     One from the pitiless wave? <br/>     Is all that we see or seem<br/>     But a dream within a dream? 
            <br/>",A Dream Within A Dream
Roald Dahl,"The most important thing we've learned,<br/>So far as children are concerned,<br/>Is never, NEVER, NEVER let<br/>Them near your television set --<br/>Or better still, just don't install<br/>The idiotic thing at all.<br/>In almost every house we've been,<br/>We've watched them gaping at the screen.<br/>They loll and slop and lounge about,<br/>And stare until their eyes pop out.<br/>(Last week in someone's place we saw<br/>A dozen eyeballs on the floor.)<br/>They sit and stare and stare and sit<br/>Until they're hypnotised by it,<br/>Until they're absolutely drunk<br/>With all that shocking ghastly junk.<br/>Oh yes, we know it keeps them still,<br/>They don't climb out the window sill,<br/>They never fight or kick or punch,<br/>They leave you free to cook the lunch<br/>And wash the dishes in the sink --<br/>But did you ever stop to think,<br/>To wonder just exactly what<br/>This does to your beloved tot?<br/>IT ROTS THE SENSE IN THE HEAD!<br/>IT KILLS IMAGINATION DEAD!<br/>IT CLOGS AND CLUTTERS UP THE MIND!<br/>IT MAKES A CHILD SO DULL AND BLIND<br/>HE CAN NO LONGER UNDERSTAND<br/>A FANTASY, A FAIRYLAND!<br/>HIS BRAIN BECOMES AS SOFT AS CHEESE!<br/>HIS POWERS OF THINKING RUST AND FREEZE!<br/>HE CANNOT THINK -- HE ONLY SEES!<br/>'All right!' you'll cry. 'All right!' you'll say,<br/>'But if we take the set away,<br/>What shall we do to entertain<br/>Our darling children? Please explain!'<br/>We'll answer this by asking you,<br/>'What used the darling ones to do?<br/>'How used they keep themselves contented<br/>Before this monster was invented?'<br/>Have you forgotten? Don't you know?<br/>We'll say it very loud and slow:<br/>THEY ... USED ... TO ... READ! They'd READ and READ,<br/>AND READ and READ, and then proceed<br/>To READ some more. Great Scott! Gadzooks!<br/>One half their lives was reading books!<br/>The nursery shelves held books galore!<br/>Books cluttered up the nursery floor!<br/>And in the bedroom, by the bed,<br/>More books were waiting to be read!<br/>Such wondrous, fine, fantastic tales<br/>Of dragons, gypsies, queens, and whales<br/>And treasure isles, and distant shores<br/>Where smugglers rowed with muffled oars,<br/>And pirates wearing purple pants,<br/>And sailing ships and elephants,<br/>And cannibals crouching 'round the pot,<br/>Stirring away at something hot.<br/>(It smells so good, what can it be?<br/>Good gracious, it's Penelope.)<br/>The younger ones had Beatrix Potter<br/>With Mr. Tod, the dirty rotter,<br/>And Squirrel Nutkin, Pigling Bland,<br/>And Mrs. Tiggy-Winkle and-<br/>Just How The Camel Got His Hump,<br/>And How the Monkey Lost His Rump,<br/>And Mr. Toad, and bless my soul,<br/>There's Mr. Rat and Mr. Mole-<br/>Oh, books, what books they used to know,<br/>Those children living long ago!<br/>So please, oh please, we beg, we pray,<br/>Go throw your TV set away,<br/>And in its place you can install<br/>A lovely bookshelf on the wall.<br/>Then fill the shelves with lots of books,<br/>Ignoring all the dirty looks,<br/>The screams and yells, the bites and kicks,<br/>And children hitting you with sticks-<br/>Fear not, because we promise you<br/>That, in about a week or two<br/>Of having nothing else to do,<br/>They'll now begin to feel the need<br/>Of having something to read.<br/>And once they start -- oh boy, oh boy!<br/>You watch the slowly growing joy<br/>That fills their hearts. They'll grow so keen<br/>They'll wonder what they'd ever seen<br/>In that ridiculous machine,<br/>That nauseating, foul, unclean,<br/>Repulsive television screen!<br/>And later, each and every kid<br/>Will love you more for what you did. 
            <br/>",Television
Robert Frost,"Some say the world will end in fire,<br/>Some say in ice.<br/>From what I've tasted of desire<br/>I hold with those who favor fire.<br/>But if it had to perish twice,<br/>I think I know enough of hate<br/>To say that for destruction ice<br/>Is also great<br/>And would suffice. 
            <br/>",Fire And Ice
Mary Elizabeth Frye,"Do not stand at my grave and weep <br/> I am not there. I do not sleep. <br/> I am a thousand winds that blow. <br/> I am the diamond glints on snow. <br/> I am the sunlight on ripened grain. <br/> I am the gentle autumn rain. <br/> When you awaken in the morning's hush <br/> I am the swift uplifting rush <br/> Of quiet birds in circled flight. <br/> I am the soft stars that shine at night. <br/> Do not stand at my grave and cry; <br/> I am not there. I did not die. 
            <br/>",Do Not Stand At My Grave And Weep
William Ernest Henley,"Out of the night that covers me,<br/>Black as the Pit from pole to pole,<br/>I thank whatever gods may be<br/>For my unconquerable soul.<br/><br/>In the fell clutch of circumstance<br/>I have not winced nor cried aloud.<br/>Under the bludgeonings of chance<br/>My head is bloody, but unbowed.<br/><br/>Beyond this place of wrath and tears<br/>Looms but the Horror of the shade,<br/>And yet the menace of the years<br/>Finds, and shall find, me unafraid.<br/><br/>It matters not how strait the gate,<br/>How charged with punishments the scroll.<br/>I am the master of my fate:<br/>I am the captain of my soul. 
            <br/>",Invictus
Langston Hughes,"It was a long time ago.<br/>I have almost forgotten my dream.<br/>But it was there then,<br/>In front of me,<br/>Bright like a sun—<br/>My dream.<br/>And then the wall rose,<br/>Rose slowly,<br/>Slowly,<br/>Between me and my dream.<br/>Rose until it touched the sky—<br/>The wall.<br/>Shadow.<br/>I am black.<br/>I lie down in the shadow.<br/>No longer the light of my dream before me,<br/>Above me.<br/>Only the thick wall.<br/>Only the shadow.<br/>My hands! <br/>My dark hands! <br/>Break through the wall! <br/>Find my dream! <br/>Help me to shatter this darkness,<br/>To smash this night,<br/>To break this shadow<br/>Into a thousand lights of sun,<br/>Into a thousand whirling dreams<br/>Of sun! 
            <br/>",As I Grew Older
Edgar Allan Poe,"From childhood's hour I have not been<br/>    As others were; I have not seen<br/>    As others saw; I could not bring<br/>    My passions from a common spring.<br/>    From the same source I have not taken<br/>    My sorrow; I could not awaken<br/>    My heart to joy at the same tone;<br/>    And all I loved, I loved alone.<br/>    Then- in my childhood, in the dawn<br/>    Of a most stormy life- was drawn<br/>    From every depth of good and ill<br/>    The mystery which binds me still:<br/>    From the torrent, or the fountain,<br/>    From the red cliff of the mountain,<br/>    From the sun that round me rolled<br/>    In its autumn tint of gold,<br/>    From the lightning in the sky<br/>    As it passed me flying by,<br/>    From the thunder and the storm,<br/>    And the cloud that took the form<br/>    (When the rest of Heaven was blue)<br/>    Of a demon in my view. 
            <br/>",Alone
Pablo Neruda,"Don't go far off, not even for a day, because -- <br/>because -- I don't know how to say it: a day is long <br/>and I will be waiting for you, as in an empty station <br/>when the trains are parked off somewhere else, asleep. <br/><br/>Don't leave me, even for an hour, because <br/>then the little drops of anguish will all run together, <br/>the smoke that roams looking for a home will drift <br/>into me, choking my lost heart. <br/><br/>Oh, may your silhouette never dissolve on the beach; <br/>may your eyelids never flutter into the empty distance. <br/>Don't leave me for a second, my dearest, <br/><br/>because in that moment you'll have gone so far <br/>I'll wander mazily over all the earth, asking, <br/>Will you come back? Will you leave me here, dying? 
            <br/>",Don'T Go Far Off
Dylan Thomas,"Do not go gentle into that good night,<br/>Old age should burn and rave at close of day; <br/>Rage, rage against the dying of the light.<br/><br/>Though wise men at their end know dark is right,<br/>Because their words had forked no lightning they<br/>Do not go gentle into that good night.<br/><br/>Good men, the last wave by, crying how bright<br/>Their frail deeds might have danced in a green bay,<br/>Rage, rage against the dying of the light.<br/><br/>Wild men who caught and sang the sun in flight,<br/>And learn, too late, they grieved it on its way,<br/>Do not go gentle into that good night.<br/><br/>Grave men, near death, who see with blinding sight<br/>Blind eyes could blaze like meteors and be gay,<br/>Rage, rage against the dying of the light.<br/><br/>And you, my father, there on that sad height,<br/>Curse, bless, me now with your fierce tears, I pray.<br/>Do not go gentle into that good night.<br/>Rage, rage against the dying of the light. 
            <br/>",Do Not Go Gentle Into That Good Night
Jenny Joseph,"When I am an old woman I shall wear purple<br/>With a red hat which doesn't go, and doesn't suit me.<br/>And I shall spend my pension on brandy and summer gloves<br/>And satin sandals, and say we've no money for butter.<br/>I shall sit down on the pavement when I'm tired<br/>And gobble up samples in shops and press alarm bells<br/>And run my stick along the public railings<br/>And make up for the sobriety of my youth.<br/>I shall go out in my slippers in the rain<br/>And pick flowers in other people's gardens<br/>And learn to spit.<br/><br/>You can wear terrible shirts and grow more fat<br/>And eat three pounds of sausages at a go<br/>Or only bread and pickle for a week<br/>And hoard pens and pencils and beermats and things in boxes.<br/><br/>But now we must have clothes that keep us dry<br/>And pay our rent and not swear in the street<br/>And set a good example for the children.<br/>We must have friends to dinner and read the papers.<br/><br/>But maybe I ought to practice a little now?<br/>So people who know me are not too shocked and surprised<br/>When suddenly I am old, and start to wear purple. 
            <br/>",Warning
Emily Dickinson,"'Hope' is the thing with feathers—<br/>That perches in the soul—<br/>And sings the tune without the words—<br/>And never stops—at all—<br/><br/>And sweetest—in the Gale—is heard—<br/>And sore must be the storm—<br/>That could abash the little Bird<br/>That kept so many warm—<br/><br/>I've heard it in the chillest land—<br/>And on the strangest Sea—<br/>Yet, never, in Extremity,<br/>It asked a crumb—of Me. 
            <br/>",Hope Is The Thing With Feathers
